REPORT DATE,Regione,Ricoverati con sintomi,Terapia intensiva,Totale attualmente positivi,DECEDUTI,Isolamento domiciliare,CASI TOTALI - A,Totale tamponi effettuati,SCHEMA VERSION
2020-05-01,Molise,17,1,190,21,172,300,6463,v5
2020-05-01,Trento,146,19,1293,423,1128,4132,37838,v5
2020-05-01,Piemonte,2503,181,15562,3097,12878,26684,162568,v5
2020-05-01,Emilia Romagna,2112,197,9484,3579,7175,25644,188264,v5
2020-05-01,Veneto,977,110,7779,1479,6692,18098,362459,v5
2020-05-01,Toscana,520,124,5373,854,4729,9445,146456,v5
2020-05-01,Liguria,666,68,3518,1184,2784,8126,51199,v5
2020-05-01,Lazio,1372,105,4446,482,2969,6672,143804,v5
2020-05-01,Marche,413,44,3211,911,2754,6275,61241,v5
2020-05-01,Campania,478,29,2753,359,2246,4444,79940,v5
2020-05-01,Lombardia,6628,563,36473,13860,29282,76469,390644,v5
2020-05-01,Basilicata,49,4,193,25,140,378,13269,v5
2020-05-01,Calabria,105,3,727,86,619,1112,37054,v5
2020-05-01,Valle d'Aosta,72,3,92,137,17,1133,7769,v5
2020-05-01,Sardegna,84,12,744,117,648,1313,26242,v5
2020-05-01,Umbria,60,13,204,68,131,1393,37762,v5
2020-05-01,Puglia,428,39,2947,421,2480,4099,64292,v5
2020-05-01,Abruzzo,297,16,1911,324,1598,2948,39385,v5
2020-05-01,Friuli VG,131,6,1115,294,978,3041,71013,v5
2020-05-01,Sicilia,399,30,2171,237,1742,3194,82860,v5
2020-05-01,Bolzano,112,11,757,278,634,2528,42903,v5
2020-05-02,Lazio,1370,96,4452,497,2986,6756,,v5
2020-05-02,Lombardia,6529,545,36667,14189,29593,77002,403702,v5
2020-05-02,Molise,9,1,182,21,172,301,,v5
2020-05-02,Trento,138,19,1282,425,1125,4181,,v5
2020-05-02,Piemonte,2550,178,15719,3126,12991,27179,,v5
2020-05-02,Emilia Romagna,2033,196,9323,3614,7094,25850,,v5
2020-05-02,Veneto,970,108,7431,1502,6353,18224,,v5
2020-05-02,Toscana,519,118,5365,863,4728,9525,,v5
2020-05-02,Liguria,647,68,3598,1195,2883,8312,,v5
2020-05-02,Marche,399,46,3205,916,2760,6298,,v5
2020-05-02,Campania,470,27,2721,362,2224,4459,,v5
