Regione,Ricoverati con sintomi,Terapia intensiva,Isolamento domiciliare,Totale attualmente positivi,DIMESSI/GUARITI,DECEDUTI,CASI TOTALI - A,INCREMENTO CASI TOTALI (rispetto al giorno precedente),Casi identificatidal sospettodiagnostico,Casi identificatida attività discreening,CASI TOTALI - B,Totale casi testati,Totale tamponi effettuati,INCREMENTOTAMPONI,REPORT DATE
Lombardia,1521,134,28235,29890,87591,17123,134604,4125,113622,20982,134604,1611623,2575003,36416,2020-10-21
Piemonte,1111,74,12250,13435,30467,4216,48118,1799,26093,22025,48118,529281,895399,13611,2020-10-21
Emilia-Romagna,596,86,10118,10800,27257,4531,42588,671,34999,7589,42588,777142,1417038,17165,2020-10-21
Veneto,439,56,10938,11433,24550,2282,38265,1422,23338,14927,38265,849385,2178114,19627,2020-10-21
Campania,996,85,20020,21101,8838,545,30484,1760,28264,2220,30484,548083,802965,13878,2020-10-21
Lazio,1226,129,16048,17403,9913,1054,28370,1219,11598,16772,28370,984926,1205529,20505,2020-10-21
Toscana,503,76,11660,12239,12006,1221,25466,866,20011,5455,25466,639007,950782,11629,2020-10-21
Liguria,547,31,4043,4621,13614,1656,19891,546,13925,5966,19891,204834,389326,4950,2020-10-21
Sicilia,565,83,7202,7850,5551,389,13790,562,8879,4911,13790,437540,614264,7412,2020-10-21
Puglia,438,42,5511,5991,5690,644,12325,324,3322,9003,12325,355311,502331,5300,2020-10-21
Marche,115,19,2243,2377,6497,997,9871,226,9871,0,9871,169343,289086,2540,2020-10-21
PA Trento,48,2,798,848,5898,420,7166,148,4110,3056,7166,109666,266366,2760,2020-10-21
Friuli Venezia Giulia,76,16,2014,2106,4382,367,6855,219,6306,549,6855,212729,486925,4627,2020-10-21
Abruzzo,212,14,2865,3091,3195,500,6786,252,5397,1389,6786,158874,253175,3123,2020-10-21
Sardegna,236,36,3539,3811,2652,180,6643,167,2714,3929,6643,199392,235250,2223,2020-10-21
Umbria,152,20,2783,2955,2403,95,5453,350,2183,3270,5453,154074,262392,3691,2020-10-21
PA Bolzano,96,7,1977,2080,2926,296,5302,189,5302,0,5302,108212,208717,1884,2020-10-21
Calabria,81,6,1293,1380,1614,105,3099,136,1159,1940,3099,243043,245158,2458,2020-10-21
Valle d'Aosta,42,5,784,831,1155,146,2132,111,1913,219,2132,23483,35990,1555,2020-10-21
Basilicata,48,4,723,775,584,39,1398,85,453,945,1398,90497,91337,1201,2020-10-21
Molise,9,1,415,425,591,26,1042,22,996,46,1042,53291,56882,1293,2020-10-21
Lombardia,1268,123,24913,26304,87072,17103,130479,2023,110712,19767,130479,1588800,2538587,21726,2020-10-20
Piemonte,1037,62,10783,11882,30228,4209,46319,1396,25539,20780,46319,519289,881788,13018,2020-10-20
Emilia-Romagna,531,78,9559,10168,27226,4523,41917,507,34633,7284,41917,769327,1399873,16549,2020-10-20
Veneto,459,51,9746,10256,24319,2268,36843,490,22987,13856,36843,841548,2158487,8126,2020-10-20
Campania,946,91,18421,19458,8732,534,28724,1312,26534,2190,28724,538297,789087,10205,2020-10-20
Lazio,1196,123,15014,16333,9780,1038,27151,1224,11206,15945,27151,969373,1185024,21117,2020-10-20
Toscana,475,72,10999,11546,11846,1208,24600,812,19332,5268,24600,631648,939153,11351,2020-10-20
Liguria,505,32,3947,4484,13214,1647,19345,907,13628,5717,19345,202738,384376,6062,2020-10-20
Sicilia,542,77,6878,7497,5353,378,13228,574,8485,4743,13228,434040,606852,8131,2020-10-20
Puglia,432,39,5259,5730,5629,642,12001,295,3240,8761,12001,350691,497031,5827,2020-10-20
Marche,99,19,2064,2182,6467,996,9645,89,9645,0,9645,167857,286546,1882,2020-10-20
PA Trento,45,1,718,764,5836,418,7018,94,4039,2979,7018,108619,263606,854,2020-10-20
Friuli Venezia Giulia,65,14,1853,1932,4338,366,6636,131,6115,521,6636,211397,482298,3915,2020-10-20
Abruzzo,210,15,2620,2845,3194,495,6534,184,5319,1215,6534,156991,250052,3115,2020-10-20
Sardegna,226,34,3426,3686,2613,177,6476,221,2674,3802,6476,197486,233027,2016,2020-10-20
PA Bolzano,96,7,1791,1894,2924,295,5113,209,5113,0,5113,107299,206833,1819,2020-10-20
Umbria,150,20,2505,2675,2335,93,5103,194,2133,2970,5103,152168,258701,4371,2020-10-20
Calabria,73,6,1173,1252,1607,104,2963,94,1159,1804,2963,240594,242700,2477,2020-10-20
Valle d'Aosta,36,5,684,725,1150,146,2021,75,1813,208,2021,23263,34435,583,2020-10-20
Basilicata,51,1,661,713,561,39,1313,17,453,860,1313,89296,90136,1115,2020-10-20
Molise,12,0,401,413,581,26,1020,26,975,45,1020,52527,55589,478,2020-10-20
Lombardia,1136,113,23385,24634,86738,17084,128456,1687,109408,19048,128456,1575120,2516861,14577,2020-10-19
Piemonte,883,61,9663,10607,30113,4203,44923,933,26243,18680,44923,511428,868770,9564,2020-10-19
Emilia-Romagna,481,70,9119,9670,27222,4518,41410,552,34342,7068,41410,763923,1383324,8026,2020-10-19
Veneto,396,44,9405,9845,24253,2255,36353,502,22902,13451,36353,838391,2150361,4426,2020-10-19
Campania,884,85,17345,18314,8576,522,27412,1593,25252,2160,27412,529648,778882,12695,2020-10-19
Lazio,1130,111,13950,15191,9703,1033,25927,939,11105,14822,25927,954419,1163907,17573,2020-10-19
Toscana,449,62,10340,10851,11731,1206,23788,986,18734,5054,23788,624289,927802,10557,2020-10-19
Liguria,436,34,3441,3911,12886,1641,18438,323,12884,5554,18438,199539,378314,1871,2020-10-19
Sicilia,521,72,6426,7019,5267,368,12654,362,8095,4559,12654,428508,598721,3252,2020-10-19
Puglia,397,38,5028,5463,5604,639,11706,321,3144,8562,11706,346220,491204,2446,2020-10-19
Marche,97,16,2005,2118,6443,995,9556,98,9556,0,9556,166944,284664,1217,2020-10-19
PA Trento,44,0,819,863,5643,418,6924,79,4007,2917,6924,108329,262752,1518,2020-10-19
Friuli Venezia Giulia,62,13,2093,2168,3973,364,6505,90,6017,488,6505,210178,478383,1281,2020-10-19
Abruzzo,197,13,2459,2669,3190,494,6353,159,5282,1071,6353,155193,246937,2176,2020-10-19
Sardegna,210,33,3259,3502,2579,174,6255,159,2600,3655,6255,195681,231011,2306,2020-10-19
Umbria,131,15,2423,2569,2247,93,4909,167,2099,2810,4909,150026,254330,1028,2020-10-19
PA Bolzano,67,7,1616,1690,2920,294,4904,85,4904,0,4904,106284,205014,1279,2020-10-19
Calabria,66,5,1099,1170,1595,104,2869,108,1159,1710,2869,238117,240223,1476,2020-10-19
Valle d'Aosta,26,4,628,658,1142,146,1946,135,1746,200,1946,23091,33852,453,2020-10-19
Basilicata,51,1,646,698,559,39,1296,22,453,843,1296,88191,89021,397,2020-10-19
Molise,12,0,381,393,575,26,994,38,949,45,994,52049,55111,744,2020-10-19
Lombardia,1065,110,22119,23294,86397,17078,126769,2975,108092,18677,126769,1565233,2502284,30981,2020-10-18
Piemonte,780,55,8998,9833,29959,4198,43990,1123,25943,18047,43990,505300,859206,9721,2020-10-18
Emilia-Romagna,439,67,8657,9163,27181,4515,40859,526,34047,6812,40859,760075,1375298,9189,2020-10-18
Veneto,378,44,9003,9425,24170,2256,35851,800,22849,13002,35851,836440,2145935,10285,2020-10-18
Campania,849,78,15938,16865,8453,501,25819,1376,23716,2103,25819,519783,766187,14256,2020-10-18
Lazio,1085,99,13196,14380,9584,1024,24988,1198,10930,14058,24988,941774,1146334,23010,2020-10-18
Toscana,385,55,9546,9986,11622,1194,22802,906,17869,4933,22802,617111,917245,13380,2020-10-18
Liguria,402,39,3318,3759,12720,1636,18115,370,12740,5375,18115,198617,376443,3328,2020-10-18
Sicilia,493,70,6227,6790,5137,365,12292,548,7835,4457,12292,426503,595469,6390,2020-10-18
Puglia,377,36,4820,5233,5517,635,11385,301,3113,8272,11385,344122,488758,4633,2020-10-18
Marche,88,13,1944,2045,6418,995,9458,204,9458,0,9458,166250,283447,2542,2020-10-18
PA Trento,38,0,763,801,5627,417,6845,48,3983,2862,6845,108040,261234,830,2020-10-18
Friuli Venezia Giulia,56,14,2011,2081,3973,361,6415,155,5927,488,6415,209531,477102,2295,2020-10-18
Abruzzo,170,13,2330,2513,3187,494,6194,221,5175,1019,6194,153850,244761,3715,2020-10-18
Sardegna,208,29,3159,3396,2526,174,6096,230,2557,3539,6096,193627,228705,1911,2020-10-18
PA Bolzano,67,7,1533,1607,2919,293,4819,171,4819,0,4819,105500,203735,1979,2020-10-18
Umbria,115,14,2302,2431,2219,92,4742,327,2062,2680,4742,149410,253302,3412,2020-10-18
Calabria,61,5,1006,1072,1585,104,2761,78,1159,1602,2761,236641,238747,2359,2020-10-18
Valle d'Aosta,20,2,506,528,1137,146,1811,73,1631,180,1811,22840,33399,360,2020-10-18
Basilicata,43,0,637,680,555,39,1274,48,444,830,1274,87784,88624,950,2020-10-18
Molise,12,0,343,355,575,26,956,27,911,45,956,51313,54367,1015,2020-10-18
Lombardia,943,96,20586,21625,85112,17057,123794,2664,106066,17728,123794,1544959,2471303,29053,2020-10-17
Piemonte,701,51,8128,8880,29791,4196,42867,972,25648,17219,42867,498420,849485,11066,2020-10-17
Emilia-Romagna,427,65,8157,8649,27175,4509,40333,641,33741,6592,40333,754101,1366109,13313,2020-10-17
Veneto,328,43,8369,8740,24064,2247,35051,774,22758,12293,35051,832701,2135650,14156,2020-10-17
Campania,817,75,14798,15690,8254,499,24443,1410,22363,2080,24443,509918,751931,14704,2020-10-17
Lazio,1043,98,12096,13237,9535,1018,23790,994,10392,13398,23790,924313,1123324,27748,2020-10-17
Toscana,344,50,8853,9247,11460,1189,21896,879,17020,4876,21896,608130,903865,13548,2020-10-17
Liguria,364,38,3156,3558,12554,1633,17745,464,12399,5346,17745,197088,373115,5173,2020-10-17
Sicilia,479,61,5741,6281,5101,362,11744,475,7493,4251,11744,422068,589079,5739,2020-10-17
Puglia,368,33,4579,4980,5472,632,11084,350,3035,8049,11084,342024,484125,5382,2020-10-17
Marche,77,10,1775,1862,6400,992,9254,121,9254,0,9254,164588,280905,2194,2020-10-17
PA Trento,27,0,744,771,5609,417,6797,82,3956,2841,6797,107750,260404,2593,2020-10-17
Friuli Venezia Giulia,49,13,1877,1939,3962,359,6260,167,5782,478,6260,208471,474807,4340,2020-10-17
Abruzzo,169,13,2112,2294,3186,493,5973,148,4950,1023,5973,151830,241046,3103,2020-10-17
Sardegna,192,30,2966,3188,2506,172,5866,130,2440,3426,5866,191734,226794,2995,2020-10-17
PA Bolzano,66,6,1372,1444,2911,293,4648,155,4648,0,4648,104499,201756,1714,2020-10-17
Umbria,99,16,2015,2130,2193,92,4415,205,1985,2430,4415,147587,249890,3525,2020-10-17
Calabria,58,5,931,994,1585,104,2683,94,1159,1524,2683,234284,236388,2995,2020-10-17
Valle d'Aosta,17,2,439,458,1134,146,1738,78,1569,169,1738,22585,33039,421,2020-10-17
Basilicata,40,0,598,638,550,38,1226,57,441,785,1226,86834,87674,1123,2020-10-17
Molise,9,0,321,330,573,26,929,65,884,45,929,50306,53352,952,2020-10-17
Lombardia,834,71,18223,19128,84958,17044,121130,2419,104276,16854,121130,1527182,2442250,30587,2020-10-16
Piemonte,658,43,7357,8058,29643,4194,41895,821,25387,16508,41895,493847,838419,9707,2020-10-16
Emilia-Romagna,404,61,7568,8033,27155,4504,39692,544,33382,6310,39692,748337,1352796,13563,2020-10-16
Veneto,299,40,7799,8138,23895,2244,34277,704,22660,11617,34277,828067,2121494,7368,2020-10-16
Campania,786,67,13501,14354,8180,499,23033,1261,20983,2050,23033,498492,737227,14222,2020-10-16
Lazio,1004,98,11215,12317,9473,1006,22796,795,10030,12766,22796,901184,1095576,19438,2020-10-16
Toscana,308,51,8156,8515,11315,1187,21017,755,16194,4823,21017,598910,890317,11500,2020-10-16
Liguria,347,32,2862,3241,12408,1632,17281,585,11989,5292,17281,194933,367942,4980,2020-10-16
Sicilia,471,58,5405,5934,4975,360,11269,578,7238,4031,11269,416980,583340,7709,2020-10-16
Puglia,326,26,4321,4673,5431,630,10734,313,3007,7727,10734,338385,478743,5582,2020-10-16
Marche,73,10,1671,1754,6387,992,9133,115,9133,0,9133,163367,278711,2198,2020-10-16
PA Trento,20,0,705,725,5574,416,6715,111,3931,2784,6715,107156,257811,2376,2020-10-16
Friuli Venezia Giulia,45,12,1742,1799,3935,359,6093,165,5622,471,6093,206998,470467,5327,2020-10-16
Abruzzo,167,11,1972,2150,3184,491,5825,178,4828,997,5825,150236,237943,3668,2020-10-16
Sardegna,187,29,2879,3095,2470,171,5736,133,2403,3333,5736,189006,223799,2450,2020-10-16
PA Bolzano,66,6,1231,1303,2897,293,4493,128,4493,0,4493,103548,200042,2152,2020-10-16
Umbria,75,15,1871,1961,2158,91,4210,198,1940,2270,4210,145535,246365,2961,2020-10-16
Calabria,51,4,849,904,1581,104,2589,102,1159,1430,2589,231287,233393,2758,2020-10-16
Valle d'Aosta,13,4,365,382,1132,146,1660,27,1499,161,1660,22334,32618,177,2020-10-16
Basilicata,36,0,547,583,548,38,1169,57,437,732,1169,85721,86551,1116,2020-10-16
Molise,8,0,257,265,573,26,864,21,819,45,864,49359,52400,538,2020-10-16
Lombardia,726,72,16252,17050,84624,17037,118711,2067,102862,15849,118711,1508334,2411663,32507,2020-10-15
Piemonte,595,40,6673,7308,29576,4190,41074,1033,25197,15877,41074,489887,828712,14142,2020-10-15
